Year,Name,Group,BlB,BlE,BleOC,BlMa,NBE,NBlB,NBlM,NBlOC,PBB,PBE,PBlOC,PBM,Black_corals,Soft_corals,Sponge,Algae,CCA,Turf,Sand,RockRub,,Total_coral,Other_inv,Total_algae,Bare_sub,,Bleached_coral,Partly_bleached_coral,Non_bleached_coral
2018,LFT_6031.JPG,20,0,1.052631579,5.263157895,0,3.157894737,9.473684211,1.052631579,0,0,1.052631579,1.052631579,0,0,0,0,0,6.315789474,68.42105263,3.157894737,0,,22.10526316,0,74.73684211,3.157894737,,6.315789474,2.105263158,13.68421053
2018,LFT_6050.JPG,21,0,0,1,0,1,12,0,0,0,0,0,0,0,0,3,0,4,68,11,0,,14,3,72,11,,1,0,13
2018,LFT_6071.JPG,22,0,1.01010101,5.050505051,0,4.04040404,16.16161616,0,1.01010101,0,3.03030303,1.01010101,0,1.01010101,0,3.03030303,0,1.01010101,63.63636364,0,0,,31.31313131,4.04040404,64.64646465,0,,6.060606061,4.04040404,21.21212121
2018,LFT_6086.JPG,23,0,1.052631579,5.263157895,0,0,12.63157895,0,0,0,8.421052632,2.105263158,0,0,0,2.105263158,0,2.105263158,63.15789474,3.157894737,0,,29.47368421,2.105263158,65.26315789,3.157894737,,6.315789474,10.52631579,12.63157895
2018,LFT_6107.JPG,24,1,0,2,1,2,8,0,0,0,1,0,0,0,0,0,0,0,76,9,0,,15,0,76,9,,4,1,10
2018,LFT_6131.JPG,25,0,1.041666667,4.166666667,0,1.041666667,5.208333333,0,0,0,4.166666667,0,0,0,1.041666667,2.083333333,0,3.125,78.125,0,0,,15.625,3.125,81.25,0,,5.208333333,4.166666667,6.25
2018,LFT_6156.JPG,26,0,3.06122449,5.102040816,0,6.12244898,2.040816327,0,1.020408163,0,6.12244898,0,0,0,0,0,0,5.102040816,71.42857143,0,0,,23.46938776,0,76.53061224,0,,8.163265306,6.12244898,9.183673469
2018,LFT_6176.JPG,27,0,0,5.102040816,0,2.040816327,8.163265306,0,0,0,0,4.081632653,0,0,0,1.020408163,0,4.081632653,75.51020408,0,0,,19.3877551,1.020408163,79.59183673,0,,5.102040816,4.081632653,10.20408163
2018,LFT_6201.JPG,28,0,0,9.183673469,0,1.020408163,7.142857143,0,3.06122449,0,1.020408163,0,0,0,1.020408163,2.040816327,0,1.020408163,72.44897959,2.040816327,0,,21.42857143,3.06122449,73.46938776,2.040816327,,9.183673469,1.020408163,11.2244898
2018,LFT_6222.JPG,29,1.020408163,2.040816327,11.2244898,0,4.081632653,1.020408163,0,0,0,4.081632653,1.020408163,0,4.081632653,1.020408163,8.163265306,0,5.102040816,57.14285714,0,0,,24.48979592,13.26530612,62.24489796,0,,14.28571429,5.102040816,5.102040816
2018,LFT_6244.JPG,30,0,8.421052632,8.421052632,0,0,5.263157895,0,0,0,2.105263158,0,0,0,0,2.105263158,0,12.63157895,61.05263158,0,0,,24.21052632,2.105263158,73.68421053,0,,16.84210526,2.105263158,5.263157895
